station_id,station_code,station_name,chainage_km,lat,lon,notes
1,LKO,Lucknow Charbagh NR,0.00,,,
2,LNWT,Lucknow West,1.72,,,
3,MKG,Manak Nagar,4.65,26.8106778,80.8909379,
4,AMS,Amausi,10.94,26.7774158,80.9026554,
5,POF,Piparsand,16.70,26.7418222,80.7968152,
6,HRN,Harauni,22.96,26.7063431,80.747885,
7,JTU,Jaitipur,30.56,26.6633215,80.6890713,
8,KVX,Kusumbhi,34.90,26.6392788,80.6540056,
9,AJ,Ajgain,38.97,26.6173636,80.6213497,
10,SIC,Sonik,46.09,26.586191,80.559833,
11,ON,Unnao Junction,54.41,26.5492382,80.4874371,
12,MGW,Magarwara,60.63,26.52454,80.4312287,
13,CPB,Kanpur Bridge (Left Bank),68.09,,,
14,CNB,Kanpur Central,71.96,26.4538613,80.3512433,
